,B,V
712,19.577,18.933
713,19.911,19.319
714,19.542,18.967
715,21.193,20.562
716,21.283,20.566
717,22.711,21.599
718,14.921,13.697
719,19.279,18.69
720,18.571,17.858
721,22.202,21.115
722,21.663,20.795
723,20.351,19.705
724,21.355,20.498
725,22.694,21.797
726,20.839,20.174
727,22.331,21.925
728,18.74,18.224
729,21.193,20.458
730,21.798,20.809
731,21.387,20.646
732,21.229,20.445
733,21.11,20.332
734,17.535,16.772
735,20.444,19.792
736,22.566,21.338
737,22.859,21.671
738,18.833,18.259
739,20.992,20.209
740,18.894,18.381
741,21.754,20.941
742,19.709,19.16
743,19.895,19.215
744,21.959,20.844
745,19.76,18.864
746,22.511,21.312
747,22.583,21.705
748,22.544,21.322
749,21.2,20.362
750,22.357,21.287
751,18.648,17.975
752,19.631,18.82
753,22.648,21.377
754,22.235,21.617
755,21.101,20.374
756,21.291,21.547
757,20.927,20.269
758,21.712,20.142
759,22.354,21.498
760,19.407,18.637
761,19.615,19.022
762,20.243,19.388
763,17.525,16.836
764,22.231,21.33
765,23.064,21.39
766,21.566,20.575
767,20.815,20.203
768,21.341,20.527
769,21.257,20.513
770,23.315,22.086
771,21.4,21.612
772,19.268,18.665
773,20.821,20.059
774,21.118,20.306
775,18.917,18.205
776,20.938,20.059
777,22.705,21.441
778,22.596,20.885
779,19.41,18.906
780,21.09,20.022
781,21.028,20.235
782,21.943,21.126
783,23.21,21.842
784,,22.097
785,21.16,20.329
786,19.762,18.651
787,19.53,18.923
788,22.387,21.501
789,22.726,21.851
790,22.752,21.893
791,22.514,21.464
792,17.374,16.585
793,20.115,19.431
794,21.072,20.353
795,22.171,21.774
796,21.56,20.67
797,18.302,17.732
798,22.212,21.306
799,19.657,19.079
800,22.936,21.666
801,18.428,17.904
802,,21.894
803,20.328,19.572
804,22.103,20.933
805,19.764,19.154
806,20.588,19.878
807,,22.347
808,19.878,19.238
809,20.501,19.832
810,21.394,20.809
811,19.342,18.84
812,21.323,20.635
813,18.62,18.043
814,21.859,20.942
815,21.585,21.264
816,16.824,16.024
817,22.532,22.225
818,22.225,20.924
819,20.585,19.95
820,22.378,20.736
821,22.464,21.76
822,21.654,21.1
823,22.776,21.74
824,19.472,18.929
825,21.956,21.475
826,22.194,21.425
827,19.588,18.977
828,21.259,20.643
829,21.289,20.454
830,21.574,20.718
831,22.658,21.58
832,22.354,21.496
833,19.284,18.511
834,19.247,18.628
