RAJ2000,_DEJ2000,n_Seq,Seq,RAJ2000,DEJ2000,pmRA,pmDE,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Icmag,e_Icmag
201.73956205,-47.74882739, ,   125,201.739565,-47.748823,  2.17,  4.74,      ,      ,20.705, 0.094,19.938, 0.035,19.024, 0.080
201.56924475,-47.74867935, ,   126,201.569241,-47.748670, -2.68, 10.23,      ,      ,18.163, 0.010,17.227, 0.020,16.143, 0.007
201.52417440,-47.74858664, ,   127,201.524177,-47.748573,  1.87, 14.86,      ,      ,19.987, 0.028,19.275, 0.029,18.429, 0.149
201.51594393,-47.74859841, ,   128,201.515956,-47.748590,  8.96,  9.20,      ,      ,21.609, 0.124,20.673, 0.089,19.715, 0.114
201.51169669,-47.74858571, ,   129,201.511704,-47.748581,  5.30,  5.03,      ,      ,20.992, 0.083,20.375, 0.083,19.689, 0.100
201.38752097,-47.74826118, ,   130,201.387526,-47.748252,  3.78, 10.11,      ,      ,16.729, 0.007,15.901, 0.010,14.940, 0.008
201.38299137,-47.74823705, ,   131,201.383004,-47.748231,  9.21,  6.50,      ,      ,21.018, 0.221,20.104, 0.063,19.262, 0.185
201.32558136,-47.74802234, ,   132,201.325587,-47.748020,  4.11,  2.56,      ,      ,18.699, 0.023,18.109, 0.019,17.413, 0.048
201.96911908,-47.74862890, ,   133,201.969107,-47.748623, -8.93,  6.40,      ,      ,17.865, 0.030,17.135, 0.011,16.224, 0.034
201.75658125,-47.74876994, ,   134,201.756581,-47.748750, -0.10, 21.82,      ,      ,21.610, 0.132,20.998, 0.202,19.993, 0.112
201.63909151,-47.74872408, ,   135,201.639108,-47.748720, 12.17,  4.46,      ,      ,21.323, 0.098,20.604, 0.113,19.542, 0.231
201.48576982,-47.74841970, ,   136,201.485775,-47.748408,  3.81, 12.74,      ,      ,20.718, 0.090,19.949, 0.059,19.166, 0.313
201.44976797,-47.74836371, ,   137,201.449773,-47.748354,  3.74, 10.75,      ,      ,20.931, 0.067,20.239, 0.119,19.319, 0.117
201.33362295,-47.74801575, ,   138,201.333613,-47.748012, -7.28,  4.16,      ,      ,20.309, 0.036,19.516, 0.022,18.565, 0.045
201.96383615,-47.74856144, ,   139,201.963827,-47.748554, -6.77,  8.26,      ,      ,20.972, 0.046,20.201, 0.108,19.375, 0.151
201.90831426,-47.74862186, ,   140,201.908328,-47.748618, 10.15,  4.16,      ,      ,20.955, 0.110,20.085, 0.036,19.325, 0.301
201.90334541,-47.74868438, ,   141,201.903343,-47.748684, -1.73,  0.54,      ,      ,21.681, 0.104,20.659, 0.121,19.865, 0.512
201.59601369,-47.74859251, ,   142,201.596014,-47.748587,  0.15,  6.09,      ,      ,20.438, 0.039,19.810, 0.074,18.992, 0.067
201.59406989,-47.74856029, ,   143,201.594076,-47.748555,  4.58,  5.79,      ,      ,19.288, 0.033,18.749, 0.048,17.979, 0.029
201.57978417,-47.74853565, ,   144,201.579792,-47.748529,  5.72,  7.40,      ,      ,19.818, 0.044,19.228, 0.051,18.539, 0.143
201.97842841,-47.74851891, ,   145,201.978424,-47.748512, -3.33,  7.62,      ,      ,20.618, 0.078,19.879, 0.058,19.146, 0.127
201.93959441,-47.74855240, ,   146,201.939587,-47.748548, -5.49,  4.75,      ,      ,20.561, 0.077,19.702, 0.055,18.911, 0.060
201.81730945,-47.74864383, ,   147,201.817351,-47.748637, 30.65,  7.53,      ,      ,22.397, 0.287,21.070, 0.155,19.689, 0.043
201.79558792,-47.74867148, ,   148,201.795595,-47.748666,  5.21,  5.87,      ,      ,20.418, 0.069,19.680, 0.023,18.830, 0.030
201.63496648,-47.74857192, ,   149,201.634970,-47.748565,  2.59,  7.57,      ,      ,20.044, 0.041,19.414, 0.049,18.620, 0.073
201.48446566,-47.74829347, ,   150,201.484479,-47.748288,  9.73,  5.93,      ,      ,21.459, 0.110,20.622, 0.070,19.686, 0.117
201.48334992,-47.74826950, ,   151,201.483357,-47.748260,  5.17, 10.40,      ,      ,19.364, 0.019,18.815, 0.034,18.034, 0.019
201.96943380,-47.74844485, ,   152,201.969437,-47.748440,  2.31,  5.31,      ,      ,19.314, 0.031,18.387, 0.044,17.272, 0.073
201.92196767,-47.74852916, ,   153,201.921976,-47.748533,  6.21, -4.26,      ,      ,20.771, 0.052,19.981, 0.061,19.146, 0.146
201.90195574,-47.74856466, ,   154,201.901968,-47.748560,  9.06,  5.10,      ,      ,19.712, 0.079,19.138, 0.061,18.349, 0.085
201.90160540,-47.74855517, ,   155,201.901626,-47.748549, 15.24,  6.87,      ,      ,20.750, 0.226,20.087, 0.208,19.256, 0.150
201.84472445,-47.74856158, ,   156,201.844738,-47.748563, 10.01, -1.62,      ,      ,21.921, 0.309,21.134, 0.099,20.329, 0.200
201.71457204,-47.74856092, ,   157,201.714575,-47.748553,  2.18,  8.61,      ,      ,19.742, 0.016,19.053, 0.028,18.259, 0.028
201.56717370,-47.74839743, ,   158,201.567172,-47.748389, -1.29,  9.35,      ,      ,20.551, 0.024,19.871, 0.026,19.038, 0.043
201.48002812,-47.74823566, ,   159,201.480036,-47.748228,  5.88,  8.32,      ,      ,16.954, 0.007,16.173, 0.013,15.188, 0.007
201.81562395,-47.74847125, ,   160,201.815630,-47.748470,  4.45,  1.37,      ,      ,21.871, 0.301,21.212, 0.172,20.055, 0.033
201.78049243,-47.74851507, ,   161,201.780495,-47.748511,  1.89,  4.33,      ,      ,19.930, 0.048,19.286, 0.069,18.456, 0.138
201.76464475,-47.74850683, ,   162,201.764651,-47.748495,  4.68, 12.95,      ,      ,21.170, 0.078,20.472, 0.058,19.347, 0.078
201.55391338,-47.74830380, ,   163,201.553923,-47.748297,  7.12,  7.50,      ,      ,20.107, 0.053,19.451, 0.059,18.670, 0.121
201.87084829,-47.74840629, ,   165,201.870854,-47.748400,  4.12,  6.88,      ,      ,21.760, 0.142,20.992, 0.334,19.755, 0.115
201.75479658,-47.74842470, ,   166,201.754819,-47.748429, 16.41, -4.58,      ,      ,21.563, 0.060,21.114, 0.411,19.931, 0.084
201.73304563,-47.74843407, ,   167,201.733044,-47.748431, -1.28,  3.24,      ,      ,20.227, 0.027,19.634, 0.075,18.716, 0.029
201.69436957,-47.74840826, ,   168,201.694374,-47.748403,  3.18,  5.69,      ,      ,20.119, 0.085,19.563, 0.121,18.672, 0.051
201.50733968,-47.74814689, ,   169,201.507360,-47.748127, 14.95, 21.83,      ,      ,22.040, 0.116,21.154, 0.137,20.228, 0.394
201.79467459,-47.74835678, ,   170,201.794675,-47.748353,  0.30,  4.07,      ,      ,19.460, 0.057,18.760, 0.032,17.852, 0.027
201.54701249,-47.74813522, ,   171,201.547019,-47.748131,  4.71,  4.50,      ,      ,21.042, 0.097,20.268, 0.123,19.426, 0.130
201.44052548,-47.74794232, ,   172,201.440520,-47.747930, -4.03, 13.48,      ,      ,20.680, 0.063,19.809, 0.056,18.985, 0.121
201.51320324,-47.74804057, ,   173,201.513218,-47.748038, 10.90,  2.75,      ,      ,19.694, 0.036,19.158, 0.042,18.395, 0.057
201.49406331,-47.74800829, ,   174,201.494075,-47.748006,  8.60,  2.38,      ,      ,20.651, 0.062,19.923, 0.098,19.040, 0.065
201.41169868,-47.74774754, ,   175,201.411693,-47.747739, -4.14,  9.47,      ,      ,17.426, 0.010,16.687, 0.010,15.833, 0.004
201.33385773,-47.74752624, ,   176,201.333859,-47.747522,  0.85,  4.70,      ,      ,20.095, 0.023,19.180, 0.026,18.224, 0.151
201.91918636,-47.74818289, ,   178,201.919188,-47.748174,  1.25,  9.85,      ,      ,20.893, 0.091,20.101, 0.036,19.271, 0.205
201.73733463,-47.74823537, ,   179,201.737345,-47.748224,  7.63, 12.56,      ,      ,22.550, 0.427,21.118, 0.143,20.117, 0.172
